classification,country,country_code,year,afford_energy,afford_nutrient,afford_healthy,pct_cannot_afford_energy,pct_cannot_afford_nutrient,pct_cannot_afford_healthy
Food Prices for Nutrition 2.1,Tunisia,TUN,2017.0,0.111,0.346,0.64,0.0,1.9,15.5
Food Prices for Nutrition 2.1,Algeria,DZA,2017.0,0.124,0.374,0.605,0.1,6.2,32.4
Food Prices for Nutrition 2.1,Mauritania,MRT,2017.0,0.263,0.845,1.036,2.7,48.3,61.7
Food Prices for Nutrition 2.1,Cameroon,CMR,2017.0,0.385,0.89,1.128,15.7,48.6,59.2
Food Prices for Nutrition 2.1,Central African Republic,CAF,2017.0,0.823,1.376,2.761,64.1,83.3,95.7
Food Prices for Nutrition 2.1,Ghana,GHA,2017.0,0.501,1.528,2.288,14.9,62.9,80.0
Food Prices for Nutrition 2.1,Guinea,GIN,2017.0,0.246,0.603,0.995,8.6,61.6,88.5
Food Prices for Nutrition 2.1,Liberia,LBR,2017.0,1.274,3.913,5.272,20.2,82.7,91.8
Food Prices for Nutrition 2.1,Malawi,MWI,2017.0,0.219,1.243,2.095,2.4,83.2,94.5
Food Prices for Nutrition 2.1,Mali,MLI,2017.0,0.233,0.77,1.126,2.0,57.9,77.4
Food Prices for Nutrition 2.1,Niger,NER,2017.0,0.867,2.364,4.064,13.5,77.1,92.9
Food Prices for Nutrition 2.1,Uganda,UGA,2017.0,0.426,1.183,1.807,13.9,68.9,84.5
Food Prices for Nutrition 2.1,Zambia,ZMB,2017.0,0.755,1.405,1.821,64.9,83.0,88.7
Food Prices for Nutrition 2.1,Zimbabwe,ZWE,2017.0,0.106,0.314,0.973,0.0,10.6,67.8
Food Prices for Nutrition 2.1,Sudan,SDN,2017.0,0.242,0.468,0.824,15.3,58.7,88.4
Food Prices for Nutrition 2.1,Tanzania,TZA,2017.0,0.374,0.731,0.976,36.8,75.6,85.9
Food Prices for Nutrition 2.1,South Africa,ZAF,2017.0,0.293,0.789,0.95,24.2,60.3,65.3
Food Prices for Nutrition 2.1,Sri Lanka,LKA,2017.0,0.176,0.404,0.671,0.6,22.6,56.3
Food Prices for Nutrition 2.1,Sub-Saharan Africa,SSF,2017.0,0.385,0.975,1.445,25.0,67.9,84.5
Food Prices for Nutrition 2.1,Senegal,SEN,2017.0,0.23,0.574,0.677,3.3,43.2,53.6
Food Prices for Nutrition 2.1,Rwanda,RWA,2017.0,0.529,0.908,1.808,28.1,61.3,87.0
Food Prices for Nutrition 2.1,Sierra Leone,SLE,2017.0,0.579,1.025,1.323,34.8,73.3,84.2
Food Prices for Nutrition 2.1,Nigeria,NGA,2017.0,0.234,0.358,0.603,44.4,69.4,90.2
Food Prices for Nutrition 2.1,Namibia,NAM,2017.0,0.304,0.553,0.979,13.9,33.6,55.4
Food Prices for Nutrition 2.1,Mozambique,MOZ,2017.0,0.244,1.255,1.932,16.8,85.8,92.7
Food Prices for Nutrition 2.1,Mongolia,MNG,2017.0,0.16,0.487,0.979,0.1,14.4,58.5
Food Prices for Nutrition 2.1,Middle East & North Africa,MEA,2017.0,0.137,0.379,0.575,0.4,13.5,32.6
Food Prices for Nutrition 2.1,Kenya,KEN,2017.0,0.213,0.514,0.79,12.9,60.8,80.2
Food Prices for Nutrition 2.1,Guinea-Bissau,GNB,2017.0,0.261,0.524,0.893,18.3,59.7,84.4
Food Prices for Nutrition 2.1,"Egypt, Arab Rep.",EGY,2017.0,0.082,0.189,0.286,1.0,33.7,67.5
Food Prices for Nutrition 2.1,"Congo, Rep.",COG,2017.0,0.449,1.171,1.52,39.9,80.8,88.6
Food Prices for Nutrition 2.1,Chad,TCD,2017.0,0.365,0.907,1.458,11.3,60.6,82.6
Food Prices for Nutrition 2.1,Cabo Verde,CPV,2017.0,0.139,0.565,0.753,0.3,29.6,44.1
Food Prices for Nutrition 2.1,Burkina Faso,BFA,2017.0,0.361,1.598,1.997,4.6,80.3,87.1
Food Prices for Nutrition 2.1,Angola,AGO,2017.0,0.315,0.726,0.972,36.1,71.2,81.5
Food Prices for Nutrition 2.1,Albania,ALB,2017.0,0.078,0.266,0.425,0.0,8.9,31.3
Food Prices for Nutrition 2.1,Argentina,ARG,2017.0,0.077,0.31,0.395,0.2,4.0,6.8
Food Prices for Nutrition 2.1,Armenia,ARM,2017.0,0.088,0.192,0.27,0.5,14.3,37.1
Food Prices for Nutrition 2.1,Australia,AUS,2017.0,0.045,0.235,0.333,0.2,0.5,0.7
Food Prices for Nutrition 2.1,Austria,AUT,2017.0,0.049,0.318,0.39,0.2,0.5,0.6
Food Prices for Nutrition 2.1,Azerbaijan,AZE,2017.0,0.097,0.225,0.288,0.0,0.0,0.0
Food Prices for Nutrition 2.1,Bangladesh,BGD,2017.0,0.145,0.438,0.648,0.8,52.0,77.7
Food Prices for Nutrition 2.1,Belarus,BLR,2017.0,0.095,0.257,0.378,0.0,0.2,2.1
Food Prices for Nutrition 2.1,Belgium,BEL,2017.0,0.032,0.291,0.347,0.1,0.3,0.3
Food Prices for Nutrition 2.1,Belize,BLZ,2017.0,0.461,1.143,1.009,19.6,57.0,50.9
Food Prices for Nutrition 2.1,Benin,BEN,2017.0,0.316,1.211,1.721,13.7,81.9,90.6
Food Prices for Nutrition 2.1,Bhutan,BTN,2017.0,0.18,0.481,0.753,0.7,26.2,51.2
Food Prices for Nutrition 2.1,Bolivia,BOL,2017.0,0.258,0.586,0.624,6.8,19.1,20.9
Food Prices for Nutrition 2.1,Bosnia and Herzegovina,BIH,2017.0,0.087,0.386,0.487,0.0,2.3,4.6
Food Prices for Nutrition 2.1,Botswana,BWA,2017.0,0.038,0.17,0.274,1.3,44.3,63.2
