classification,country,country_code,year,diet_type,cost
Food Prices for Nutrition 2.1,Tunisia,TUN,2017.0,Energy sufficient,0.604
Food Prices for Nutrition 2.1,Algeria,DZA,2017.0,Energy sufficient,0.773
Food Prices for Nutrition 2.1,Mauritania,MRT,2017.0,Energy sufficient,0.877
Food Prices for Nutrition 2.1,Cameroon,CMR,2017.0,Energy sufficient,0.894
Food Prices for Nutrition 2.1,Central African Republic,CAF,2017.0,Energy sufficient,1.021
Food Prices for Nutrition 2.1,Ghana,GHA,2017.0,Energy sufficient,0.824
Food Prices for Nutrition 2.1,Guinea,GIN,2017.0,Energy sufficient,0.904
Food Prices for Nutrition 2.1,Liberia,LBR,2017.0,Energy sufficient,0.971
Food Prices for Nutrition 2.1,Malawi,MWI,2017.0,Energy sufficient,0.285
Food Prices for Nutrition 2.1,Mali,MLI,2017.0,Energy sufficient,0.6
Food Prices for Nutrition 2.1,Niger,NER,2017.0,Energy sufficient,0.608
Food Prices for Nutrition 2.1,Uganda,UGA,2017.0,Energy sufficient,0.648
Food Prices for Nutrition 2.1,Zambia,ZMB,2017.0,Energy sufficient,1.279
Food Prices for Nutrition 2.1,Zimbabwe,ZWE,2017.0,Energy sufficient,0.239
Food Prices for Nutrition 2.1,Sudan,SDN,2017.0,Energy sufficient,1.079
Food Prices for Nutrition 2.1,Tanzania,TZA,2017.0,Energy sufficient,0.994
Food Prices for Nutrition 2.1,South Africa,ZAF,2017.0,Energy sufficient,1.265
Food Prices for Nutrition 2.1,Sri Lanka,LKA,2017.0,Energy sufficient,0.972
Food Prices for Nutrition 2.1,Sub-Saharan Africa,SSF,2017.0,Energy sufficient,0.859
Food Prices for Nutrition 2.1,Senegal,SEN,2017.0,Energy sufficient,0.745
Food Prices for Nutrition 2.1,Rwanda,RWA,2017.0,Energy sufficient,0.763
Food Prices for Nutrition 2.1,Sierra Leone,SLE,2017.0,Energy sufficient,1.243
Food Prices for Nutrition 2.1,Nigeria,NGA,2017.0,Energy sufficient,1.382
Food Prices for Nutrition 2.1,Namibia,NAM,2017.0,Energy sufficient,1.009
Food Prices for Nutrition 2.1,Mozambique,MOZ,2017.0,Energy sufficient,0.383
Food Prices for Nutrition 2.1,Mongolia,MNG,2017.0,Energy sufficient,0.743
Food Prices for Nutrition 2.1,Middle East & North Africa,MEA,2017.0,Energy sufficient,0.737
Food Prices for Nutrition 2.1,Kenya,KEN,2017.0,Energy sufficient,0.767
Food Prices for Nutrition 2.1,Guinea-Bissau,GNB,2017.0,Energy sufficient,0.925
Food Prices for Nutrition 2.1,"Egypt, Arab Rep.",EGY,2017.0,Energy sufficient,0.988
Food Prices for Nutrition 2.1,"Congo, Rep.",COG,2017.0,Energy sufficient,0.987
Food Prices for Nutrition 2.1,Chad,TCD,2017.0,Energy sufficient,0.709
Food Prices for Nutrition 2.1,Cabo Verde,CPV,2017.0,Energy sufficient,0.62
Food Prices for Nutrition 2.1,Burkina Faso,BFA,2017.0,Energy sufficient,0.574
Food Prices for Nutrition 2.1,Angola,AGO,2017.0,Energy sufficient,1.403
Food Prices for Nutrition 2.1,Albania,ALB,2017.0,Energy sufficient,0.725
Food Prices for Nutrition 2.1,Anguilla,AIA,2017.0,Energy sufficient,1.308
Food Prices for Nutrition 2.1,Antigua and Barbuda,ATG,2017.0,Energy sufficient,0.933
Food Prices for Nutrition 2.1,Argentina,ARG,2017.0,Energy sufficient,0.652
Food Prices for Nutrition 2.1,Armenia,ARM,2017.0,Energy sufficient,1.013
Food Prices for Nutrition 2.1,Aruba,ABW,2017.0,Energy sufficient,1.13
Food Prices for Nutrition 2.1,Australia,AUS,2017.0,Energy sufficient,0.307
Food Prices for Nutrition 2.1,Austria,AUT,2017.0,Energy sufficient,0.346
Food Prices for Nutrition 2.1,Azerbaijan,AZE,2017.0,Energy sufficient,0.789
Food Prices for Nutrition 2.1,"Bahamas, The",BHS,2017.0,Energy sufficient,1.049
Food Prices for Nutrition 2.1,Bahrain,BHR,2017.0,Energy sufficient,0.792
Food Prices for Nutrition 2.1,Bangladesh,BGD,2017.0,Energy sufficient,0.644
Food Prices for Nutrition 2.1,Belarus,BLR,2017.0,Energy sufficient,0.8
Food Prices for Nutrition 2.1,Belgium,BEL,2017.0,Energy sufficient,0.263
Food Prices for Nutrition 2.1,Belize,BLZ,2017.0,Energy sufficient,1.13
Food Prices for Nutrition 2.1,Benin,BEN,2017.0,Energy sufficient,0.652
Food Prices for Nutrition 2.1,Bermuda,BMU,2017.0,Energy sufficient,1.099
Food Prices for Nutrition 2.1,Bhutan,BTN,2017.0,Energy sufficient,1.047
Food Prices for Nutrition 2.1,Bolivia,BOL,2017.0,Energy sufficient,1.468
Food Prices for Nutrition 2.1,Bosnia and Herzegovina,BIH,2017.0,Energy sufficient,0.691
Food Prices for Nutrition 2.1,Botswana,BWA,2017.0,Energy sufficient,0.505
